姓名,職稱
蔡昌達,高雄市議會副議長
蔡培慧,立法委員
蔡其昌,立法院副院長
蔡啟芳,曾任立法委員
蔡仁,曾任民代
蔡適應,立法委員
蔡旺璉,基隆市議會副議長
蔡易餘,立法委員
蔡長銘,曾任嘉義縣議長
曾銘宗,立法委員
沈學榮,居磁工業股份有限公司董事長
沈宗隆,雲林縣議會議長
陳寶輝,曾任台北市衛生局長
陳超明,立法委員
陳福三,嘉義貨運界翹楚
陳耕元,曾代表台灣前進1931年甲子園大賽獲得亞軍
陳宏宗,台東縣議會副議長
陳佳照,曾任台南市議員
陳見賢,新竹縣議會副議長
陳建年,曾任台東縣縣長、原民會主任委員等
陳皆興,曾任第三屆高雄縣縣長
陳錦祥,台北市議會副議長
陳菁徽,婦產科醫師
陳菊,現任高雄市長
陳賴素美,立法委員
陳亮吟,台灣1990年代的知名歌手
陳曼麗,立法委員
陳明朝,苗栗縣議會副議長
陳明仁,曾任國大代表
陳明文,立法委員
陳歐珀,立法委員
陳其邁,立法委員
陳書建,連江縣議會副議長
陳書芸,曾任高雄縣政府文化局長
陳雙全,澎湖縣議會副議長
陳素月,立法委員
陳亭妃,立法委員
陳萬得,曾任桃園平鎮市長
陳文昌,宜蘭縣議會議長
陳文治,新北市議會副議長
陳錫坤,曾任苗栗縣議員
陳學聖,立法委員
陳雪生,立法委員
陳宜民,立法委員
陳怡潔,立法委員
陳怡岳,嘉義縣議會副議長
陳怡珍,現任台南市議員
陳奕瑄,現任民進黨中評委
陳瑩,立法委員
陳雲龍,曾任高雄市議員
陳哲男,曾任臺北市政府秘書長、立法委員、總統府副祕書長
陳政忠,臺北市議員
段守愚,曾任大華晚報總編輯
段宜康,立法委員
費鴻波,曾任國防大學校長、國防部參謀本部副參謀總長
費鴻鈞,曾任桃園機場公司總經理
費鴻泰,立法委員
費聿鋒,饒舌團體三角COOL成員
傅崐萁,現任花蓮縣長
高金素梅,立法委員
高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,立法委員
高志鵬,立法委員
谷辣斯．尤達卡Kolas．Yotaka,立法委員
顧立雄,現任金融監督管理委員會主委
管碧玲,立法委員
郭明賓,嘉義市議會副議長
郭信良,台南市議會副議長
郭正亮,立法委員
何勝豐,南投縣議會議長
何欣純,立法委員
洪慈庸,立法委員
洪麗萍,金門縣議會議長
洪仲丘,洪仲丘事件之受害者
洪宗熠,立法委員
侯冠群,曾任台北市議員
胡世和,洪仲丘舅舅
黃國昌,立法委員
黃國書,立法委員
黃瑞明,現任司法院大法官
黃淑媛,藥劑師
黃偉哲,立法委員
黃秀芳,立法委員
黃昭順,立法委員
黃禎淦,皮膚科醫師
黃禎憲,知名皮膚科醫師
黃禎祥,小兒科醫師
黃智賢,藍營名嘴
黃重諺,總統府發言人
黃尊秋,曾任監察院院長
簡東明Uliw．Qaljupayare,立法委員
江春男,曾任國家安全會議副秘書長
江漢津,二二八事件受難者
江啟臣,立法委員
江秋桂,曾任豐原市農會理事長
江上清,曾任中和市長
江淑惠,藝名為「江蕙」知名台語歌手
江水源,曾任里長42年
江維屏,屏東縣議會副議長
江永昌,立法委員
蔣淦聲,曾任台北市議員
蔣根煌,新北市議會議長
蔣乃辛,立法委員
蔣萬安,立法委員
蔣孝嚴,曾任立法委員、行政院副院長
金德培,滿族愛新覺羅氏皇族直系後裔
康裕成,高雄市議會議長
柯建銘,立法委員
柯文福,曾任屏東縣縣長
柯志恩,立法委員
孔文吉,立法委員
賴進坤,花蓮縣議會議長
賴美惠,台南市議會議長
賴瑞隆,立法委員
賴士葆,立法委員
李福人,曾任台北縣議員、南港鎮民代表會主席
李鴻鈞,立法委員
李鴻禧,憲法專家，陳水扁執政時期的「國師」
李鴻源,曾任行政院公共工程委員會主任委員、內政部部長
李金鏱,曾任台北市議員
李俊俋,立法委員
李昆澤,立法委員
李麗芬,立法委員
李騰輝,前台北縣泰山鄉鄉長
李曉鐘,桃園市議會副議長
李彥秀,立法委員
李應元,現任環境保護署署長
李永得,現任客委會主委
廖光舜,台獨聯盟人士
廖國棟Sufin．Siluko,立法委員
廖繼魯,台中「張廖派」大老
廖瑞芳,忽必烈傳播公司董事長
廖瑞華,忽必烈傳播公司經理人
廖述嘉,曾任台中市議員
廖翊百,小提琴教師
林昶佐,立法委員
林岱樺,立法委員
林德福,立法委員
林靜儀,立法委員
林俊憲,立法委員
林麗蟬,立法委員
林棋山,宜蘭縣議會副議長
林三郎,曾任鳳山市長
林士昌,台中市議會議長
林淑芬,立法委員
林淑滿,曾任台中縣議員
林為洲,立法委員
劉陳昭玲,澎湖縣議會議長
劉建國,立法委員
劉盛良,曾任立委
劉世芳,立法委員
劉洋,中華會館臺東分社發起人之一
劉育菁,台南市鹽水國小學務主任
劉櫂豪,立法委員
劉櫂漳,曾任台東縣議員、國大代表
劉哲彰,現任新北市議員
盧秀芳,中天新聞台晚間新聞主播
盧秀玲,羚羊傳播公司董事長
盧秀燕,立法委員
呂孫綾,立法委員
呂玉玲,立法委員
呂子昌,前新北市議員
羅福助,曾任立委
羅明才,立法委員
羅明旭,曾任臺灣省議會議員
羅致政,立法委員
馬榮吉,曾任埔里鎮長、省議員
馬文君,立法委員
馬長風,曾任國大代表
潘一全,南投縣議會副議長
邱凱偉,台灣知名藝人
邱茂男,曾任台灣省議員
邱名璋,現任屏東縣議員
邱慶德,曾任屏東市長
邱泰源,立法委員
邱奕勝,桃園市議會議長
邱議瑩,立法委員
邱志偉,立法委員
饒慶鈴,台東縣議會議長
施宣榕,宏碁集團創辦人施振榮之么女
施義芳,立法委員
宋瑋莉,基隆市議會議長
蘇東啟,曾任青年黨雲林縣議員
蘇洪月嬌,曾任省議員
蘇嘉富,曾任立委、國大代表
蘇嘉全,立法院院長
蘇俊豪,雲林縣議會副議長
蘇麗雪,曾任鶯歌鎮民代表
蘇巧純,超越基金會執行長
蘇巧慧,立法委員
蘇貞昌,曾任行政院長
蘇震清,立法委員
蘇治芬,立法委員
蘇治洋,曾任省議員、國大代表
蘇紫雲,淡江大學整合戰略科技中心執行長
王崇儀,曾任行政院海岸巡防署署長
王定宇,立法委員
王福入,曾任鹿港鎮長
王惠美,立法委員
王金平,立法委員
王美花,現任經濟部常務次長
王榮璋,立法委員
王馨敏,立賢教育基金會執行長
王怡心,國立台北大學前任副校長、會計學系專任教授
王育敏,立法委員
吳碧珠,台北市議會議長
吳秉叡,立法委員
吳伯雄,曾任桃園縣第七任縣長、內政部長、台北市長、中國國民黨主席
吳鴻麟,曾任桃園縣第四任縣長、桃園客運創辦人、醫生
吳焜裕,立法委員
吳琪銘,立法委員
吳思瑤,立法委員
吳玉琴,立法委員
吳志剛,現任臺北市議員
吳志揚,立法委員
蕭美琴,立法委員
蕭清芬,前台南神學院院長
蕭淑麗,嘉義市議會議長
謝典霖,彰化縣議會議長
謝東龍,金門縣議會副議長
謝文進,新竹市議會議長
謝新隆,三大有線電視董事長、三大寬頻董事長
謝言信,曾任立委
徐滌源,曾任苗栗縣農會總幹事
徐定標,日治時期任庄長
徐國勇,現任行政院政務委員兼行政院發言人
徐佳青,現任民進黨副秘書長
徐金錫,曾任公館鄉長
徐文彥,生態綠公平貿易公司共同創辦人
徐永明,立法委員
徐榛蔚,立法委員
徐志榮,立法委員
徐志奕,前行政院副院長徐立德之長子
許淑華,立法委員
許天送,曾任南投市民代表會主席
許修睿,新竹市議會副議長
許陽明,曾任民進黨副秘書長、台南市副市長
許毓仁,立法委員
許原龍,彰化縣議會副議長
許智傑,立法委員
顏寬恒,立法委員
顏莉敏,現任台中市議員
顏清標,曾任立委、台中「黑派」大老
楊石龍,現任澎湖縣議員
楊肅元,曾任國大代表
楊曜,立法委員
楊夷狄,曾任西嶼鄉代會主席
楊鎮浯,立法委員
姚文智,立法委員
葉棟樑,曾任國大代表
葉光章,第一金證券董事長
葉光洲,葉宜津立委服務處主任
葉湘怡,閃靈樂團團長
葉宜津,立法委員
以莉·高露,阿美族金曲獎歌后
尤美女,立法委員
游忠鈿,苗栗縣議會議長
余宛如,立法委員
詹益川,筆名詹冰，笠詩社創辦人之一
張宏陸,立法委員
張嘉郡,曾任立委
張峻,花蓮縣議會副議長
張麗善,立法委員
張廖萬堅,立法委員
張明達,嘉義縣議會議長
張清照,台中市議會副議長
張榮味,雲林「張派」掌門人，曾任雲林縣長、雲林縣議長、雲林縣議員，現任中華民國臺灣省商業會理事長
張鎔麒,曾參選立委
張永成,現任中華民國農會總幹事
張永江,連江縣議會議長
張鎮榮,新竹縣議會議長
趙天麟,立法委員
趙永清,曾任立委
趙長江,中和「林江派」大老
趙正宇,立法委員
鄭寶清,立法委員
鄭麗君,現任文化部部長
鄭汝芬,曾任立委
鄭天財Sra．Kacaw,立法委員
鄭運鴻,網路名人「難攻大士」
鄭運鵬,立法委員
鍾佳濱,立法委員
鍾孔炤,立法委員
鍾英輝,曾任鄉代會主席及屏東縣議員
周陳秀霞,立法委員
周承融,曾任國民黨台中縣黨部主委
周春米,立法委員
周典論,屏東縣議會議長
周五六,前臺南縣議會議長
莊瑞雄,立法委員
卓冠廷,現任台中市政府新聞局長
卓建國,曾任台北縣鶯歌鎮鎮民代表會副主席
吳錫輝,曾任陽明信用合作社理事主席、臺北縣士林鎮鎮民代表、陽明山管理處商會理事長
陳曾悅子,資深里長
林文龍,曾任基隆市議員，連任八屆有市議會長青樹之稱號
林家輝,曾任基隆市議員
李秋燕,藝名為「李燕」為本土劇花旦
饒穎奇,曾任立法院副院長、立法委員
蔣介石,曾任中華民國第一至第五任總統
蔣經國,曾任中華民國第六、第七任總統
蔣蕙蘭,台灣知名導演
蔣蕙筠,曾任映畫傳播公司總經理
張廖乃綸,現任台中市議員
羅慶堂,曾任臺北縣國蘭協會第一屆理事長